id,day,shift,worker_id,preference,requirements,assigned,singleWorkerFitness,sumFitnness
107,4,1,9,1,6,1,520,5160
108,4,1,10,1,6,0,500,5160
109,4,1,11,1,6,1,620,5160
110,4,2,1,0,10,1,480,5160
111,4,2,2,1,10,1,600,5160
112,4,2,3,0,10,1,480,5160
113,4,2,4,0,10,0,580,5160
114,4,2,5,1,10,1,550,5160
115,4,2,6,1,10,1,570,5160
116,4,2,7,1,10,1,560,5160
117,4,2,8,1,10,1,600,5160
118,4,2,9,1,10,1,520,5160
119,4,2,10,1,10,1,500,5160
120,4,2,11,0,10,1,620,5160
121,4,3,1,0,10,1,480,5160
122,4,3,2,1,10,1,600,5160
123,4,3,3,0,10,1,480,5160
124,4,3,4,0,10,1,580,5160
125,4,3,5,0,10,1,550,5160
126,4,3,6,0,10,1,570,5160
127,4,3,7,1,10,1,560,5160
128,4,3,8,0,10,0,600,5160
129,4,3,9,0,10,1,520,5160
130,4,3,10,0,10,1,500,5160
131,4,3,11,0,10,1,620,5160
132,5,1,1,1,8,1,480,5160
133,5,1,2,0,8,0,600,5160
134,5,1,3,0,8,1,480,5160
135,5,1,4,0,8,0,580,5160
136,5,1,5,1,8,1,550,5160
137,5,1,6,1,8,0,570,5160
138,5,1,7,0,8,1,560,5160
139,5,1,8,1,8,1,600,5160
140,5,1,9,0,8,1,520,5160
141,5,1,10,1,8,1,500,5160
142,5,1,11,1,8,1,620,5160
143,5,2,1,0,9,1,480,5160
144,5,2,2,0,9,1,600,5160
145,5,2,3,0,9,1,480,5160
146,5,2,4,1,9,1,580,5160
147,5,2,5,0,9,0,550,5160
148,5,2,6,0,9,0,570,5160
149,5,2,7,1,9,1,560,5160
150,5,2,8,1,9,1,600,5160
151,5,2,9,0,9,0,520,5160
152,5,2,10,1,9,1,500,5160
153,5,2,11,1,9,1,620,5160
154,5,3,1,0,5,1,480,5160
155,5,3,2,1,5,1,600,5160
156,5,3,3,0,5,0,480,5160
157,5,3,4,1,5,0,580,5160
158,5,3,5,1,5,1,550,5160
159,5,3,6,0,5,0,570,5160
160,5,3,7,1,5,1,560,5160
161,5,3,8,1,5,1,600,5160
162,5,3,9,1,5,0,520,5160
163,5,3,10,0,5,0,500,5160
164,5,3,11,1,5,0,620,5160
165,6,1,1,0,5,1,480,5160
166,6,1,2,1,5,0,600,5160
167,6,1,3,0,5,0,480,5160
168,6,1,4,0,5,0,580,5160
169,6,1,5,1,5,1,550,5160
170,6,1,6,0,5,1,570,5160
171,6,1,7,0,5,0,560,5160
172,6,1,8,1,5,0,600,5160
173,6,1,9,0,5,1,520,5160
174,6,1,10,0,5,0,500,5160
175,6,1,11,1,5,1,620,5160
176,6,2,1,1,6,1,480,5160
177,6,2,2,1,6,1,600,5160
178,6,2,3,1,6,0,480,5160
179,6,2,4,0,6,1,580,5160
180,6,2,5,1,6,1,550,5160
181,6,2,6,1,6,1,570,5160
182,6,2,7,0,6,0,560,5160
183,6,2,8,0,6,0,600,5160
184,6,2,9,0,6,0,520,5160
185,6,2,10,0,6,1,500,5160
186,6,2,11,0,6,0,620,5160
187,6,3,1,0,5,0,480,5160
188,6,3,2,0,5,0,600,5160
189,6,3,3,1,5,1,480,5160
190,6,3,4,1,5,1,580,5160
191,6,3,5,0,5,0,550,5160
192,6,3,6,1,5,0,570,5160
193,6,3,7,0,5,1,560,5160
194,6,3,8,1,5,1,600,5160
195,6,3,9,1,5,0,520,5160
196,6,3,10,0,5,0,500,5160
197,6,3,11,1,5,1,620,5160
198,7,1,1,0,8,1,480,5160
199,7,1,2,0,8,0,600,5160
200,7,1,3,1,8,1,480,5160
201,7,1,4,1,8,1,580,5160
202,7,1,5,0,8,0,550,5160
203,7,1,6,1,8,1,570,5160
204,7,1,7,0,8,0,560,5160
205,7,1,8,0,8,1,600,5160
206,7,1,9,1,8,1,520,5160
207,7,1,10,0,8,1,500,5160
208,7,1,11,1,8,1,620,5160
209,7,2,1,1,9,1,480,5160
210,7,2,2,1,9,1,600,5160
211,7,2,3,0,9,1,480,5160
212,7,2,4,0,9,1,580,5160
213,7,2,5,0,9,1,550,5160
214,7,2,6,1,9,1,570,5160
215,7,2,7,0,9,1,560,5160
216,7,2,8,1,9,1,600,5160
217,7,2,9,1,9,1,520,5160
218,7,2,10,0,9,0,500,5160
219,7,2,11,0,9,0,620,5160
220,7,3,1,1,6,0,480,5160
221,7,3,2,0,6,1,600,5160
222,7,3,3,1,6,1,480,5160
223,7,3,4,1,6,1,580,5160
224,7,3,5,1,6,0,550,5160
225,7,3,6,1,6,1,570,5160
226,7,3,7,0,6,0,560,5160
227,7,3,8,0,6,0,600,5160
228,7,3,9,0,6,0,520,5160
229,7,3,10,0,6,1,500,5160
230,7,3,11,1,6,0,620,5160
231,8,1,1,0,8,1,480,5160
232,8,1,2,1,8,1,600,5160
233,8,1,3,1,8,1,480,5160
234,8,1,4,0,8,0,580,5160
235,8,1,5,0,8,1,550,5160
236,8,1,6,1,8,1,570,5160
237,8,1,7,1,8,0,560,5160
238,8,1,8,0,8,1,600,5160
239,8,1,9,0,8,0,520,5160
240,8,1,10,0,8,1,500,5160
241,8,1,11,0,8,1,620,5160
242,8,2,1,1,7,0,480,5160
243,8,2,2,0,7,0,600,5160
244,8,2,3,0,7,1,480,5160
245,8,2,4,0,7,1,580,5160
246,8,2,5,0,7,1,550,5160
247,8,2,6,1,7,1,570,5160
248,8,2,7,0,7,0,560,5160
249,8,2,8,0,7,0,600,5160
250,8,2,9,1,7,1,520,5160
251,8,2,10,0,7,1,500,5160
252,8,2,11,0,7,1,620,5160
253,8,3,1,1,5,0,480,5160
254,8,3,2,1,5,0,600,5160
255,8,3,3,0,5,1,480,5160
256,8,3,4,1,5,1,580,5160
257,8,3,5,1,5,0,550,5160
258,8,3,6,0,5,0,570,5160
259,8,3,7,0,5,0,560,5160
260,8,3,8,0,5,1,600,5160
261,8,3,9,0,5,0,520,5160
262,8,3,10,0,5,1,500,5160
263,8,3,11,1,5,1,620,5160
264,9,1,1,0,10,1,480,5160
265,9,1,2,1,10,1,600,5160
266,9,1,3,0,10,1,480,5160
267,9,1,4,0,10,1,580,5160
268,9,1,5,1,10,1,550,5160
269,9,1,6,0,10,1,570,5160
270,9,1,7,0,10,0,560,5160
271,9,1,8,0,10,1,600,5160
272,9,1,9,0,10,1,520,5160
273,9,1,10,0,10,1,500,5160
274,9,1,11,1,10,1,620,5160
275,9,2,1,0,5,0,480,5160
276,9,2,2,1,5,1,600,5160
277,9,2,3,1,5,1,480,5160
278,9,2,4,0,5,0,580,5160
279,9,2,5,0,5,1,550,5160
280,9,2,6,1,5,0,570,5160
281,9,2,7,1,5,0,560,5160
282,9,2,8,0,5,0,600,5160
283,9,2,9,0,5,1,520,5160
284,9,2,10,0,5,1,500,5160
285,9,2,11,0,5,0,620,5160
286,9,3,1,1,10,1,480,5160
287,9,3,2,1,10,1,600,5160
288,9,3,3,0,10,0,480,5160
289,9,3,4,0,10,1,580,5160
290,9,3,5,0,10,1,550,5160
291,9,3,6,1,10,1,570,5160
292,9,3,7,0,10,1,560,5160
293,9,3,8,1,10,1,600,5160
294,9,3,9,0,10,1,520,5160
295,9,3,10,1,10,1,500,5160
296,9,3,11,1,10,1,620,5160
297,10,1,1,1,7,1,480,5160
298,10,1,2,0,7,0,600,5160
299,10,1,3,0,7,0,480,5160
300,10,1,4,1,7,1,580,5160
301,10,1,5,1,7,1,550,5160
302,10,1,6,1,7,1,570,5160
303,10,1,7,1,7,1,560,5160
304,10,1,8,1,7,1,600,5160
305,10,1,9,0,7,1,520,5160
306,10,1,10,0,7,0,500,5160
307,10,1,11,0,7,0,620,5160
308,10,2,1,1,10,0,480,5160
309,10,2,2,1,10,1,600,5160
310,10,2,3,0,10,1,480,5160
311,10,2,4,1,10,1,580,5160
312,10,2,5,1,10,1,550,5160
313,10,2,6,1,10,1,570,5160
314,10,2,7,1,10,1,560,5160
315,10,2,8,0,10,1,600,5160
316,10,2,9,1,10,1,520,5160
317,10,2,10,0,10,1,500,5160
318,10,2,11,1,10,1,620,5160
319,10,3,1,1,10,1,480,5160
320,10,3,2,1,10,1,600,5160
321,10,3,3,1,10,1,480,5160
322,10,3,4,1,10,1,580,5160
323,10,3,5,0,10,1,550,5160
324,10,3,6,1,10,1,570,5160
325,10,3,7,1,10,1,560,5160
326,10,3,8,1,10,1,600,5160
327,10,3,9,0,10,0,520,5160
328,10,3,10,0,10,1,500,5160
329,10,3,11,0,10,1,620,5160
330,11,1,1,0,5,1,480,5160
331,11,1,2,0,5,0,600,5160
332,11,1,3,0,5,0,480,5160
333,11,1,4,0,5,0,580,5160
334,11,1,5,0,5,1,550,5160
335,11,1,6,0,5,1,570,5160
336,11,1,7,1,5,0,560,5160
337,11,1,8,0,5,0,600,5160
338,11,1,9,0,5,1,520,5160
339,11,1,10,1,5,1,500,5160
340,11,1,11,1,5,0,620,5160
341,11,2,1,1,8,1,480,5160
342,11,2,2,0,8,1,600,5160
343,11,2,3,1,8,0,480,5160
344,11,2,4,1,8,1,580,5160
345,11,2,5,1,8,1,550,5160
346,11,2,6,1,8,0,570,5160
347,11,2,7,0,8,1,560,5160
348,11,2,8,1,8,0,600,5160
349,11,2,9,1,8,0,520,5160
350,11,2,10,0,8,1,500,5160
351,11,2,11,0,8,1,620,5160
352,11,3,1,0,6,0,480,5160
353,11,3,2,1,6,1,600,5160
354,11,3,3,1,6,1,480,5160
355,11,3,4,0,6,0,580,5160
356,11,3,5,1,6,1,550,5160
357,11,3,6,0,6,1,570,5160
358,11,3,7,1,6,1,560,5160
359,11,3,8,0,6,0,600,5160
360,11,3,9,1,6,0,520,5160
361,11,3,10,0,6,1,500,5160
362,11,3,11,0,6,0,620,5160
363,12,1,1,0,9,0,480,5160
364,12,1,2,1,9,1,600,5160
365,12,1,3,0,9,1,480,5160
366,12,1,4,0,9,1,580,5160
367,12,1,5,0,9,1,550,5160
368,12,1,6,1,9,1,570,5160
369,12,1,7,0,9,0,560,5160
370,12,1,8,0,9,1,600,5160
371,12,1,9,1,9,1,520,5160
372,12,1,10,0,9,1,500,5160
373,12,1,11,0,9,0,620,5160
374,12,2,1,0,6,1,480,5160
375,12,2,2,0,6,0,600,5160
376,12,2,3,0,6,1,480,5160
377,12,2,4,1,6,0,580,5160
378,12,2,5,0,6,1,550,5160
379,12,2,6,1,6,0,570,5160
380,12,2,7,1,6,1,560,5160
381,12,2,8,1,6,0,600,5160
382,12,2,9,1,6,0,520,5160
383,12,2,10,1,6,1,500,5160
384,12,2,11,1,6,1,620,5160
385,12,3,1,1,8,1,480,5160
386,12,3,2,1,8,0,600,5160
387,12,3,3,1,8,0,480,5160
388,12,3,4,1,8,1,580,5160
389,12,3,5,1,8,1,550,5160
390,12,3,6,1,8,1,570,5160
391,12,3,7,1,8,1,560,5160
392,12,3,8,1,8,1,600,5160
393,12,3,9,0,8,1,520,5160
394,12,3,10,1,8,0,500,5160
395,12,3,11,1,8,1,620,5160
396,13,1,1,0,5,0,480,5160
397,13,1,2,0,5,1,600,5160
398,13,1,3,0,5,1,480,5160
399,13,1,4,1,5,1,580,5160
400,13,1,5,0,5,0,550,5160
401,13,1,6,0,5,1,570,5160
402,13,1,7,0,5,0,560,5160
403,13,1,8,0,5,1,600,5160
404,13,1,9,1,5,0,520,5160
405,13,1,10,1,5,0,500,5160
406,13,1,11,1,5,0,620,5160
407,13,2,1,0,8,1,480,5160
408,13,2,2,1,8,0,600,5160
409,13,2,3,0,8,0,480,5160
410,13,2,4,1,8,1,580,5160
411,13,2,5,1,8,1,550,5160
412,13,2,6,1,8,1,570,5160
413,13,2,7,1,8,1,560,5160
414,13,2,8,1,8,1,600,5160
415,13,2,9,1,8,1,520,5160
416,13,2,10,1,8,1,500,5160
417,13,2,11,1,8,1,620,5160
418,13,3,1,0,9,1,480,5160
419,13,3,2,0,9,1,600,5160
420,13,3,3,1,9,1,480,5160
421,13,3,4,0,9,0,580,5160
422,13,3,5,0,9,1,550,5160
423,13,3,6,1,9,1,570,5160
424,13,3,7,0,9,1,560,5160
425,13,3,8,1,9,1,600,5160
426,13,3,9,1,9,1,520,5160
427,13,3,10,0,9,1,500,5160
428,13,3,11,0,9,0,620,5160
429,14,1,1,0,10,0,480,5160
430,14,1,2,1,10,1,600,5160
431,14,1,3,0,10,1,480,5160
432,14,1,4,0,10,1,580,5160
433,14,1,5,1,10,1,550,5160
434,14,1,6,0,10,1,570,5160
435,14,1,7,0,10,1,560,5160
436,14,1,8,0,10,1,600,5160
437,14,1,9,0,10,1,520,5160
438,14,1,10,1,10,1,500,5160
439,14,1,11,0,10,1,620,5160
440,14,2,1,1,6,1,480,5160
441,14,2,2,1,6,0,600,5160
442,14,2,3,0,6,1,480,5160
443,14,2,4,1,6,1,580,5160
444,14,2,5,0,6,0,550,5160
445,14,2,6,1,6,1,570,5160
446,14,2,7,1,6,0,560,5160
447,14,2,8,1,6,1,600,5160
448,14,2,9,1,6,0,520,5160
449,14,2,10,1,6,1,500,5160
450,14,2,11,0,6,0,620,5160
451,14,3,1,0,9,1,480,5160
452,14,3,2,0,9,1,600,5160
453,14,3,3,0,9,0,480,5160
454,14,3,4,0,9,0,580,5160
455,14,3,5,1,9,1,550,5160
456,14,3,6,1,9,1,570,5160
457,14,3,7,0,9,1,560,5160
458,14,3,8,0,9,1,600,5160
459,14,3,9,1,9,1,520,5160
460,14,3,10,1,9,1,500,5160
461,14,3,11,0,9,1,620,5160
462,15,1,1,0,6,0,480,5160
463,15,1,2,0,6,1,600,5160
464,15,1,3,1,6,1,480,5160
465,15,1,4,1,6,0,580,5160
466,15,1,5,0,6,0,550,5160
467,15,1,6,1,6,1,570,5160
468,15,1,7,0,6,0,560,5160
469,15,1,8,1,6,1,600,5160
470,15,1,9,1,6,1,520,5160
471,15,1,10,1,6,1,500,5160
472,15,1,11,1,6,0,620,5160
473,15,2,1,0,5,0,480,5160
474,15,2,2,0,5,1,600,5160
475,15,2,3,0,5,0,480,5160
476,15,2,4,0,5,0,580,5160
477,15,2,5,0,5,1,550,5160
478,15,2,6,1,5,1,570,5160
479,15,2,7,1,5,0,560,5160
480,15,2,8,0,5,1,600,5160
481,15,2,9,0,5,0,520,5160
482,15,2,10,1,5,1,500,5160
483,15,2,11,0,5,0,620,5160
484,15,3,1,0,9,1,480,5160
485,15,3,2,0,9,0,600,5160
486,15,3,3,1,9,1,480,5160
487,15,3,4,0,9,1,580,5160
488,15,3,5,0,9,1,550,5160
489,15,3,6,0,9,1,570,5160
490,15,3,7,0,9,1,560,5160
491,15,3,8,1,9,1,600,5160
492,15,3,9,1,9,0,520,5160
493,15,3,10,1,9,0,500,5160
494,15,3,11,1,9,1,620,5160
495,16,1,1,0,8,0,480,5160
496,16,1,2,1,8,1,600,5160
497,16,1,3,1,8,1,480,5160
498,16,1,4,1,8,1,580,5160
499,16,1,5,1,8,1,550,5160
500,16,1,6,1,8,1,570,5160
501,16,1,7,1,8,1,560,5160
502,16,1,8,0,8,0,600,5160
503,16,1,9,0,8,0,520,5160
504,16,1,10,1,8,1,500,5160
505,16,1,11,0,8,1,620,5160
506,16,2,1,0,7,1,480,5160
507,16,2,2,0,7,0,600,5160
508,16,2,3,0,7,1,480,5160
509,16,2,4,0,7,0,580,5160
510,16,2,5,1,7,1,550,5160
511,16,2,6,0,7,1,570,5160
512,16,2,7,0,7,1,560,5160
513,16,2,8,1,7,1,600,5160
514,16,2,9,0,7,0,520,5160
515,16,2,10,0,7,0,500,5160
516,16,2,11,1,7,1,620,5160
517,16,3,1,0,5,0,480,5160
518,16,3,2,0,5,0,600,5160
519,16,3,3,0,5,1,480,5160
520,16,3,4,0,5,0,580,5160
521,16,3,5,0,5,0,550,5160
522,16,3,6,0,5,1,570,5160
523,16,3,7,1,5,0,560,5160
524,16,3,8,0,5,0,600,5160
525,16,3,9,0,5,1,520,5160
526,16,3,10,0,5,1,500,5160
527,16,3,11,1,5,1,620,5160
528,17,1,1,1,7,1,480,5160
529,17,1,2,0,7,0,600,5160
530,17,1,3,0,7,1,480,5160
531,17,1,4,0,7,0,580,5160
532,17,1,5,0,7,0,550,5160
533,17,1,6,0,7,1,570,5160
534,17,1,7,0,7,0,560,5160
535,17,1,8,0,7,1,600,5160
536,17,1,9,1,7,0,520,5160
537,17,1,10,0,7,1,500,5160
538,17,1,11,1,7,1,620,5160
539,17,2,1,1,9,1,480,5160
540,17,2,2,1,9,1,600,5160
541,17,2,3,1,9,1,480,5160
542,17,2,4,1,9,1,580,5160
543,17,2,5,0,9,1,550,5160
544,17,2,6,1,9,1,570,5160
545,17,2,7,1,9,0,560,5160
546,17,2,8,0,9,0,600,5160
547,17,2,9,0,9,1,520,5160
548,17,2,10,1,9,1,500,5160
549,17,2,11,1,9,1,620,5160
550,17,3,1,1,8,0,480,5160
551,17,3,2,1,8,1,600,5160
552,17,3,3,0,8,1,480,5160
553,17,3,4,1,8,0,580,5160
554,17,3,5,0,8,1,550,5160
555,17,3,6,1,8,0,570,5160
556,17,3,7,1,8,1,560,5160
557,17,3,8,0,8,1,600,5160
558,17,3,9,0,8,0,520,5160
559,17,3,10,0,8,1,500,5160
560,17,3,11,0,8,1,620,5160
561,18,1,1,0,8,1,480,5160
562,18,1,2,1,8,1,600,5160
563,18,1,3,0,8,0,480,5160
564,18,1,4,0,8,1,580,5160
565,18,1,5,1,8,1,550,5160
566,18,1,6,1,8,1,570,5160
567,18,1,7,0,8,1,560,5160
568,18,1,8,0,8,0,600,5160
569,18,1,9,0,8,1,520,5160
570,18,1,10,0,8,0,500,5160
571,18,1,11,1,8,1,620,5160
572,18,2,1,1,8,0,480,5160
573,18,2,2,0,8,1,600,5160
574,18,2,3,0,8,0,480,5160
575,18,2,4,1,8,1,580,5160
576,18,2,5,0,8,1,550,5160
577,18,2,6,1,8,1,570,5160
578,18,2,7,0,8,1,560,5160
579,18,2,8,0,8,1,600,5160
580,18,2,9,0,8,1,520,5160
581,18,2,10,1,8,0,500,5160
582,18,2,11,0,8,1,620,5160
583,18,3,1,0,6,0,480,5160
584,18,3,2,0,6,1,600,5160
585,18,3,3,1,6,1,480,5160
586,18,3,4,1,6,0,580,5160
587,18,3,5,0,6,0,550,5160
588,18,3,6,1,6,1,570,5160
589,18,3,7,0,6,0,560,5160
590,18,3,8,1,6,1,600,5160
591,18,3,9,1,6,1,520,5160
592,18,3,10,1,6,1,500,5160
593,18,3,11,0,6,0,620,5160
594,19,1,1,0,7,0,480,5160
595,19,1,2,1,7,0,600,5160
596,19,1,3,1,7,1,480,5160
597,19,1,4,1,7,0,580,5160
598,19,1,5,1,7,1,550,5160
599,19,1,6,1,7,1,570,5160
600,19,1,7,0,7,1,560,5160
601,19,1,8,1,7,1,600,5160
602,19,1,9,1,7,1,520,5160
603,19,1,10,1,7,1,500,5160
604,19,1,11,1,7,0,620,5160
605,19,2,1,0,8,0,480,5160
606,19,2,2,1,8,1,600,5160
607,19,2,3,1,8,1,480,5160
608,19,2,4,1,8,1,580,5160
609,19,2,5,1,8,0,550,5160
610,19,2,6,0,8,1,570,5160
611,19,2,7,1,8,1,560,5160
612,19,2,8,1,8,0,600,5160
613,19,2,9,1,8,1,520,5160
614,19,2,10,1,8,1,500,5160
615,19,2,11,1,8,1,620,5160
616,19,3,1,0,6,0,480,5160
617,19,3,2,0,6,0,600,5160
618,19,3,3,0,6,1,480,5160
619,19,3,4,0,6,1,580,5160
620,19,3,5,0,6,0,550,5160
621,19,3,6,0,6,1,570,5160
622,19,3,7,0,6,1,560,5160
623,19,3,8,1,6,1,600,5160
624,19,3,9,0,6,0,520,5160
625,19,3,10,0,6,0,500,5160
626,19,3,11,1,6,1,620,5160
627,20,1,1,1,7,1,480,5160
628,20,1,2,0,7,1,600,5160
629,20,1,3,0,7,1,480,5160
630,20,1,4,0,7,0,580,5160
631,20,1,5,1,7,1,550,5160
632,20,1,6,0,7,0,570,5160
633,20,1,7,1,7,0,560,5160
634,20,1,8,1,7,0,600,5160
635,20,1,9,1,7,1,520,5160
636,20,1,10,1,7,1,500,5160
637,20,1,11,1,7,1,620,5160
638,20,2,1,1,8,1,480,5160
639,20,2,2,1,8,1,600,5160
640,20,2,3,1,8,1,480,5160
641,20,2,4,1,8,1,580,5160
642,20,2,5,0,8,0,550,5160
643,20,2,6,1,8,0,570,5160
644,20,2,7,0,8,0,560,5160
645,20,2,8,0,8,1,600,5160
646,20,2,9,0,8,0,520,5160
647,20,2,10,0,8,1,500,5160
648,20,2,11,1,8,1,620,5160
649,20,3,1,0,5,0,480,5160
650,20,3,2,0,5,1,600,5160
651,20,3,3,0,5,0,480,5160
652,20,3,4,0,5,1,580,5160
653,20,3,5,0,5,0,550,5160
654,20,3,6,1,5,0,570,5160
655,20,3,7,1,5,1,560,5160
656,20,3,8,0,5,1,600,5160
657,20,3,9,0,5,0,520,5160
658,20,3,10,1,5,0,500,5160
659,20,3,11,0,5,1,620,5160
660,21,1,1,0,5,0,480,5160
661,21,1,2,0,5,0,600,5160
662,21,1,3,0,5,0,480,5160
663,21,1,4,0,5,0,580,5160
664,21,1,5,0,5,1,550,5160
665,21,1,6,1,5,1,570,5160
666,21,1,7,0,5,0,560,5160
667,21,1,8,1,5,1,600,5160
668,21,1,9,1,5,1,520,5160
669,21,1,10,0,5,0,500,5160
670,21,1,11,1,5,1,620,5160
671,21,2,1,1,5,0,480,5160
672,21,2,2,1,5,1,600,5160
673,21,2,3,0,5,0,480,5160
674,21,2,4,0,5,0,580,5160
675,21,2,5,1,5,1,550,5160
676,21,2,6,0,5,0,570,5160
677,21,2,7,1,5,1,560,5160
678,21,2,8,1,5,1,600,5160
679,21,2,9,0,5,0,520,5160
680,21,2,10,1,5,1,500,5160
681,21,2,11,0,5,0,620,5160
682,21,3,1,1,6,0,480,5160
683,21,3,2,0,6,1,600,5160
684,21,3,3,0,6,0,480,5160
685,21,3,4,0,6,1,580,5160
686,21,3,5,0,6,0,550,5160
687,21,3,6,0,6,0,570,5160
688,21,3,7,1,6,1,560,5160
689,21,3,8,0,6,0,600,5160
690,21,3,9,0,6,1,520,5160
691,21,3,10,1,6,1,500,5160
692,21,3,11,1,6,1,620,5160
693,22,1,1,1,5,0,480,5160
694,22,1,2,1,5,1,600,5160
695,22,1,3,1,5,1,480,5160
696,22,1,4,0,5,0,580,5160
697,22,1,5,0,5,1,550,5160
698,22,1,6,0,5,0,570,5160
699,22,1,7,1,5,0,560,5160
700,22,1,8,1,5,0,600,5160
701,22,1,9,1,5,0,520,5160
702,22,1,10,1,5,1,500,5160
703,22,1,11,1,5,1,620,5160
704,22,2,1,0,8,0,480,5160
705,22,2,2,1,8,1,600,5160
706,22,2,3,0,8,1,480,5160
707,22,2,4,1,8,1,580,5160
708,22,2,5,1,8,1,550,5160
709,22,2,6,1,8,1,570,5160
710,22,2,7,1,8,0,560,5160
711,22,2,8,1,8,1,600,5160
712,22,2,9,0,8,1,520,5160
713,22,2,10,1,8,1,500,5160
714,22,2,11,0,8,0,620,5160
715,22,3,1,1,9,0,480,5160
716,22,3,2,0,9,1,600,5160
717,22,3,3,0,9,1,480,5160
718,22,3,4,1,9,1,580,5160
719,22,3,5,0,9,1,550,5160
720,22,3,6,0,9,0,570,5160
721,22,3,7,1,9,1,560,5160
722,22,3,8,1,9,1,600,5160
723,22,3,9,1,9,0,520,5160
724,22,3,10,1,9,1,500,5160
725,22,3,11,0,9,1,620,5160
726,23,1,1,1,7,1,480,5160
727,23,1,2,1,7,1,600,5160
728,23,1,3,1,7,0,480,5160
729,23,1,4,0,7,1,580,5160
730,23,1,5,1,7,1,550,5160
731,23,1,6,1,7,0,570,5160
